Q22	Scotland
Q31	Belgium
Q1	Universe
Q13	Triskaidekaphobia
Q23	George Washington
Q35	Denmark
Q44	Beer
Q64	Berlin
Q82	Printer (computing)
Q84	London
Q102	Pneumonoultramicroscopicsilicovolcanoconiosis
Q105	Monday
Q109	February
